id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21022737,Luxurious Panoramic Flat in Lisbon - 2,22078192,Claudio,Lisboa,Santa Maria Maior,38.71295,-9.13497,Entire home/apt,200,1,2,2018-07-26,0.16,10,359
21025446,Perfect Room near EXPO–AIRPORT–B,148966598,Ruan&Chen,Loures,Moscavide e Portela,38.77615,-9.10283,Private room,20,1,178,2019-06-08,8.36,2,330
21033935,Alex Home para habitar uma localização excelente,151492757,Pedro,Lisboa,Santo Antnio,38.72426,-9.14557,Entire home/apt,112,3,1,2018-10-09,0.11,1,287
21035316,"Livon Blue Apartment, Downtown, Lisbon",22192546,Madalena,Lisboa,Misericrdia,38.7098,-9.14772,Entire home/apt,85,2,28,2019-06-08,1.31,71,332
21036759,Tradicional apartment in Lisbon!,151516923,Sylvie,Lisboa,Arroios,38.72275,-9.13366,Entire home/apt,100,3,33,2019-06-03,1.58,1,343
21038013,Ao Lado da Luzia - meet Alfama!,90555479,Ieva & Bruno,Lisboa,Santa Maria Maior,38.71133,-9.12885,Entire home/apt,45,1,125,2019-06-23,5.90,1,324
21038244,Stay In Estoril - Alapraia T3,151530613,Cristina,Cascais,Cascais e Estoril,38.71165,-9.3752,Entire home/apt,130,2,9,2019-05-19,0.82,1,121
21039522,Portas do Sol Cozy Flat,3953109,Feels Like Home,Lisboa,Santa Maria Maior,38.71255,-9.12842,Entire home/apt,47,2,8,2019-03-24,0.54,301,283
21039551,Studio in the heart of city center - Lisboa,132217576,Pedro,Lisboa,Santa Maria Maior,38.71328,-9.13603,Entire home/apt,48,2,89,2019-06-23,4.17,16,50
21040248,Das Natarias (CUZ110),150435226,Heike - INTER CHALET,Torres Vedras,A dos Cunhados e Maceira,39.14766,-9.36207,Entire home/apt,56,1,0,,,13,288
21040249,Formosa 2nd Floor (CUZ100),150435226,Heike - INTER CHALET,Torres Vedras,Silveira,39.13119,-9.38504,Entire home/apt,68,1,0,,,13,260
21040264,Bright and cozy 3 BDR holiday home with pool,150435226,Heike - INTER CHALET,Lourinh,Lourinh e Atalaia,39.2305,-9.33805,Entire home/apt,97,1,1,2018-05-04,0.07,13,24
21040273,Holiday house Carapinha,150435226,Heike - INTER CHALET,Torres Vedras,A dos Cunhados e Maceira,39.15254,-9.36196,Entire home/apt,60,1,0,,,13,326
21040373,Spacious 3 bedroom holiday apartment Ricardo w/ pool,150435226,Heike - INTER CHALET,Sintra,Colares,38.80018,-9.45023,Entire home/apt,100,1,0,,,13,87
21040374,Boca da Mata (CLE150),150435226,Heike - INTER CHALET,Sintra,Colares,38.79142,-9.44599,Entire home/apt,131,1,0,,,13,70
21040375,Reihenhaus mit Pool (CLE203),150435226,Heike - INTER CHALET,Sintra,Colares,38.82632,-9.4658,Entire home/apt,108,1,0,,,13,24
21040380,Holiday apartment with views over Santa Cruz,150435226,Heike - INTER CHALET,Torres Vedras,A dos Cunhados e Maceira,39.13891,-9.37538,Entire home/apt,41,1,1,2019-03-27,0.33,13,192
21040388,My Imhouse (ERI102),150435226,Heike - INTER CHALET,Mafra,Ericeira,38.95805,-9.4039,Entire home/apt,89,1,0,,,13,83
21041096,Apartamento T2 Odivelas/Metro,151556025,Evidente,Odivelas,Odivelas,38.79385,-9.17454,Entire home/apt,85,4,4,2018-10-22,0.34,7,123
21042405,Príncipe Real Design Flat,3953109,Feels Like Home,Lisboa,Misericrdia,38.71147,-9.15144,Entire home/apt,52,2,15,2019-06-12,0.97,301,302
21042679,Violeta | Cozy apartment in City Center,75195914,Marilia,Lisboa,Arroios,38.71942,-9.13849,Entire home/apt,45,3,72,2019-06-24,3.45,2,311
21048033,Principe Real Delight Apart -1000 reviews!,1277626,João,Lisboa,Santo Antnio,38.71975,-9.15185,Entire home/apt,60,2,29,2019-06-26,2.87,8,251
21048266,Casa Alex -  20 minutes from downtown,151621455,Alexandre,Lisboa,Penha de Frana,38.72766,-9.12903,Entire home/apt,60,3,37,2019-06-02,2.39,1,178
21048278,"Silver Coast Villa, your quiet and cozy hideaway",33853206,Elsa,Torres Vedras,Silveira,39.1296,-9.37702,Entire home/apt,50,3,11,2019-06-02,0.53,2,315
21048390,Lux4you Apartment,46829582,Ana Paula,Amadora,guas Livres,38.74977,-9.22633,Entire home/apt,59,1,46,2019-05-27,2.35,5,310
21048453,Santa Marta Cozy Flat,3953109,Feels Like Home,Lisboa,Santo Antnio,38.72187,-9.1444,Entire home/apt,62,2,6,2019-05-29,0.29,301,292
21049538,Comfy & Central Apartment in Bairro Alto,15882673,Melissa & Luca,Lisboa,Misericrdia,38.71222,-9.14505,Entire home/apt,60,2,65,2019-06-20,3.08,8,56
21050027,Little Penthouse with River view,125892685,Pedro,Lisboa,Belm,38.70498,-9.20293,Entire home/apt,120,2,41,2019-06-21,1.93,5,356
21050809,Angel Of Lisbon 3,31107450,Zorilda,Lisboa,Arroios,38.73345,-9.13511,Private room,30,1,5,2017-11-24,0.24,9,0
21052170,Momentos,112131443,Tomas,Mafra,Ericeira,38.96929,-9.4138,Private room,35,1,2,2018-08-13,0.09,3,363
21054837,Lisbon Central Apartment,151681043,Pedro,Lisboa,Avenidas Novas,38.73816,-9.14635,Entire home/apt,82,1,6,2019-01-30,0.32,2,125
21055775,Amazing Tranquility in Surf World Ericeira Beach,45080954,Daniel,Mafra,Mafra,38.96202,-9.3546,Entire home/apt,150,4,4,2018-08-24,0.36,7,336
21061614,4Roses Style Apartment 1st,1848304,Samuel,Lisboa,Misericrdia,38.71477,-9.14465,Entire home/apt,85,2,58,2019-06-09,2.90,16,293
21062197,Hostel Seven Hills - S. Miguel Room,61255540,Hostel Seven Hills,Lisboa,Arroios,38.72803,-9.1337,Private room,39,1,1,2019-05-28,1,10,179
21063137,Hostel Seven Hills - S. Justa Girls Room,61255540,Hostel Seven Hills,Lisboa,Arroios,38.7268,-9.13562,Shared room,13,1,14,2019-06-08,0.71,10,179
21063350,Hostel Seven Hills - S. Apolónia Room,61255540,Hostel Seven Hills,Lisboa,Arroios,38.72819,-9.13579,Shared room,13,1,21,2019-05-30,1.60,10,173
21066873,Mãe de Água - Cozy apartment in the city center,9708011,João + Isabel,Lisboa,Santo Antnio,38.71797,-9.14766,Entire home/apt,105,3,0,,,4,324
21067472,Designer Downtown Apartment Convenient for Rossio,1116037,Filipa,Lisboa,Santa Maria Maior,38.71013,-9.13895,Entire home/apt,170,3,8,2019-03-25,0.38,4,320
21067517,Castelo Picão - Cozy apartment in historic Alfama,9708011,João + Isabel,Lisboa,So Vicente,38.71325,-9.13,Entire home/apt,115,3,1,2018-08-22,0.10,4,292
21067788,Quarto/ Room (Cama de Casal/ Doublebed),102500713,Maria Delfina,Mafra,Ericeira,38.96304,-9.41518,Private room,18,5,5,2018-10-13,0.25,2,294
21071714,inRosa Style Apartment2 AC+Lift,1848304,Samuel,Lisboa,Misericrdia,38.71366,-9.14497,Entire home/apt,95,2,62,2019-06-09,3.14,16,323
21074822,Alecrim Modern Flat,3953109,Feels Like Home,Lisboa,Misericrdia,38.7086,-9.14366,Entire home/apt,93,2,4,2018-05-20,0.20,301,282
21074937,Charming flat in Campo de Ourique / Estrela,3374592,Vanda,Lisboa,Campo de Ourique,38.71956,-9.16151,Entire home/apt,70,4,1,2018-08-20,0.10,1,0
21077473,Lisbon Luxury Flat (2 bedrooms),151916934,Pedro,Lisboa,Arroios,38.73221,-9.1439,Entire home/apt,175,2,3,2018-09-17,0.16,1,303
